Release Date,Release Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
02/18/2022,DMS,G2,M,Hispanic,47,El Paso,23990209,Property,THEFT PROP <$2500 2+ CONV ENH IAT,11/17/2020,06/05/2020,2 Years & Less
08/11/2022,Discharge,J2,F,Black,45,Denton,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/16/2022,11/27/2019,6 Months & Less
10/11/2021,Parole,OT,M,White,48,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",04/10/2019,07/31/2017,4 Years
03/07/2022,Parole,OT,M,Hispanic,46,Nueces,23990202,Property,THEFT PROP <$300K ATM,10/05/2021,09/09/2018,4 Years
02/15/2022,Parole,IT,M,Black,45,Harris,23990010,Property,THEFT PROP >=$20K<$100K,04/16/2021,12/10/2014,3 Years
06/08/2022,DMS,G1,M,White,56,El Paso,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,02/21/2018,03/06/2017,6 Years
08/23/2022,Parole,G2,F,Hispanic,58,Midland,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/30/2017,03/15/2016,7 Years
05/27/2022,Discharge,J2,M,Black,46,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/29/2021,12/02/2020,7 to 8 Months
03/15/2022,Discharge,G4,M,Black,45,Potter,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/25/2018,03/15/2018,4 Years
09/15/2021,Discharge,J2,M,Black,49,Lubbock,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",03/30/2021,07/09/2020,14 to 15 Months
12/17/2021,Discharge,J5,M,Hispanic,47,Ector,23990194,Property,"THEFT PROP >=$2,500<$30K",07/26/2021,07/13/2020,14 to 15 Months
01/12/2022,DMS,G2,M,Black,44,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/18/2020,01/07/2020,2 Years & Less
06/03/2022,Discharge,J1,F,White,45,Hays,23990194,Property,"THEFT PROP >=$2,500<$30K",11/18/2021,05/23/2020,12 to 13 Months
